label	chrome-handles-no-gc_default
browser	Chrome
version	112.0.5572.0
binary	/home/jake/research/chromium/src/out/baseline-no-gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding
Angular2-TypeScript-TodoMVC
Adding100Items
Async	32.59021667220271
Sync	42.651176428258694
total	75.34781415141201
CompletingAllItems
Async	13.120213353659514
Sync	8.644443758848924
total	21.792064940911178
DeletingItems
Async	2.970783018776525
Sync	16.555752699910286
total	19.855180663858008
total	117.4052159462641
AngularJS-TodoMVC
Adding100Items
Async	41.76451635192703
Sync	157.57394042589155
total	199.36226345883503
CompletingAllItems
Async	25.912596309460742
Sync	55.2074163359149
total	81.30415424610575
DeletingAllItems
Async	15.85127447059876
Sync	159.40597563599468
total	175.473994751851
total	456.305306042612
BackboneJS-TodoMVC
Adding100Items
Async	41.97851161859023
Sync	55.321778521845786
total	97.46853315663955
CompletingAllItems
Async	32.51710498992424
Sync	37.745291875336655
total	70.74314597278747
DeletingAllItems
Async	5.191498900817695
Sync	25.98969357813646
total	31.881043218707283
total	200.57321145104993
Elm-TodoMVC
Adding100Items
Async	48.65641878677689
Sync	87.29643149150412
total	136.03615202078495
CompletingAllItems
Async	30.155911258356348
Sync	83.39902602221417
total	113.5915310997842
DeletingItems
Async	9.162158169181337
Sync	102.93101982897713
total	112.19716813082977
total	361.9496138672335
EmberJS-Debug-TodoMVC
Adding100Items
Async	46.47022230506236
Sync	734.1582196225903
total	781.4972140359226
CompletingAllItems
Async	34.688233367024154
Sync	295.77418491814274
total	330.96646481309585
DeletingItems
Async	11.248329104096042
Sync	283.6007872907377
total	297.49970035444596
total	1418.0039780343232
EmberJS-TodoMVC
Adding100Items
Async	34.432792573513346
Sync	150.18721478893508
total	184.7525030113865
CompletingAllItems
Async	28.846792402875998
Sync	105.38729812351734
total	134.49937918329235
DeletingItems
Async	3.635569472593755
Sync	72.99000652560666
total	76.67106481606241
total	397.11274999097685
Flight-TodoMVC
Adding100Items
Async	33.67057677717307
Sync	78.55875824593656
total	112.25048372430359
CompletingAllItems
Async	25.360689734138543
Sync	85.36338218933045
total	110.76204272692635
DeletingItems
Async	3.996229743825878
Sync	70.00661494439463
total	75.28571133363764
total	298.6291433819327
Inferno-TodoMVC
Adding100Items
Async	38.844078339257955
Sync	43.57930447152896
total	82.54891743987645
CompletingAllItems
Async	6.670520548822039
Sync	85.28151787471602
total	92.03947247673419
DeletingItems
Async	3.372653856079281
Sync	205.41183759884981
total	208.82807867143578
total	383.54858874670634
Preact-TodoMVC
Adding100Items
Async	37.89854769473341
Sync	5.031686440774953
total	42.93587175452482
CompletingAllItems
Async	16.500859507918545
Sync	3.0937004077380705
total	19.607086025966684
DeletingItems
Async	4.7979886148586
Sync	1.7144119364603838
total	6.531035644074936
total	69.1477294472293
React-Redux-TodoMVC
Adding100Items
Async	34.051867329045386
Sync	136.06898661058878
total	170.43406225161058
CompletingAllItems
Async	27.801825280684294
Sync	145.1740421595699
total	173.32944679432384
DeletingItems
Async	3.94175953041803
Sync	103.91631847033003
total	108.138008083768
total	454.2628133063518
React-TodoMVC
Adding100Items
Async	35.42936576109176
Sync	109.01378525045239
total	144.61611701562728
CompletingAllItems
Async	27.96917608947183
Sync	63.61930084111687
total	91.61499654046439
DeletingAllItems
Async	3.057870823770126
Sync	47.82589865007756
total	50.92677816524088
total	287.568886003834
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	35.68662798045051
Sync	296.00730555474803
total	331.78677022466087
CompletingAllItems
Async	26.63100460936556
Sync	64.02420041046544
total	90.69937129206193
DeletingItems
Async	3.8417060988090497
Sync	40.39122048598246
total	45.5035345562242
total	468.68690417864707
Vanilla-ES2015-TodoMVC
Adding100Items
Async	35.0437943734379
Sync	301.94903104464186
total	337.0513874865465
CompletingAllItems
Async	26.484317058718723
Sync	63.81128818780137
total	90.33634599180384
DeletingItems
Async	3.2147252763461727
Sync	39.895888971192484
total	43.39911110828385
total	470.9498253921451
VanillaJS-TodoMVC
Adding100Items
Async	34.23087844481919
Sync	217.7065572659826
total	251.98580965950433
CompletingAllItems
Async	26.604020112542308
Sync	55.21619398616051
total	81.83938186752769
DeletingAllItems
Async	3.961874578363514
Sync	35.6974772031383
total	40.731113264888165
total	375.13402699204283
VueJS-TodoMVC
Adding100Items
Async	53.0971122255182
Sync	7.726731808368715
total	60.838414031807865
CompletingAllItems
Async	25.92679065135326
Sync	3.259843423149187
total	29.269857329431225
DeletingAllItems
Async	8.518760076455962
Sync	4.489398559896217
total	13.051696808532384
total	103.94649248623978
jQuery-TodoMVC
Adding100Items
Async	38.116390883565494
Sync	434.5793130924942
total	472.72024724183734
CompletingAllItems
Async	34.38782762114657
Sync	846.9293700724493
total	881.549379809746
DeletingAllItems
Async	3.5535415051125687
Sync	443.76887852199775
total	447.8130947208927
total	1802.1967455035244
geomean	342.0725094450033
mean	480.2916952772533
score	58.467136200009435
total	7684.667124436056
