label	chrome-direct-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome
version	112.0.5572.0
binary	/home/jake/chromium/src/out/direct_pointers_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC
Adding100Items
Async	37.96017804812015
Sync	55.485962048268995
total	93.70779362991665
CompletingAllItems
Async	15.071483076253655
Sync	9.954724762134587
total	25.116911277926224
DeletingItems
Async	3.7687704517935683
Sync	18.04686937619739
total	21.940453610974835
total	141.25493767930533
AngularJS-TodoMVC
Adding100Items
Async	52.408520987648
Sync	235.72414682749863
total	288.98479606544635
CompletingAllItems
Async	34.410013889900185
Sync	72.27167025922556
total	107.65948051521201
DeletingAllItems
Async	16.300175626875607
Sync	253.48005338900856
total	270.8612199320991
total	673.6746892381711
BackboneJS-TodoMVC
Adding100Items
Async	43.74496420546989
Sync	70.71233572784314
total	114.51993405418865
CompletingAllItems
Async	33.1821868960868
Sync	45.95563876602016
total	79.15417342072124
DeletingAllItems
Async	4.833095480452296
Sync	29.98097935948275
total	34.87553028301245
total	229.22587770236512
Elm-TodoMVC
Adding100Items
Async	51.623093274445104
Sync	133.05648408338826
total	185.93358532163504
CompletingAllItems
Async	34.84710674530241
Sync	128.87282143381228
total	164.7525694459024
DeletingItems
Async	10.753010175881416
Sync	147.60543521046154
total	159.33463247344312
total	523.1099538478019
EmberJS-Debug-TodoMVC
Adding100Items
Async	47.53975440370606
Sync	583.6496658058974
total	631.3519612260444
CompletingAllItems
Async	30.63596956816549
Sync	362.72538385782394
total	393.5184792283566
DeletingItems
Async	8.296416708538121
Sync	392.74652844971905
total	402.58235338120323
total	1437.500460964515
EmberJS-TodoMVC
Adding100Items
Async	43.88591784436806
Sync	209.0286939490923
total	253.27483997984825
CompletingAllItems
Async	34.15392971285671
Sync	121.78532245872145
total	156.46105072283564
DeletingItems
Async	4.736698021647291
Sync	82.9306863352482
total	88.11869631787532
total	501.58759998077574
Flight-TodoMVC
Adding100Items
Async	39.18825514099608
Sync	98.66280292212295
total	137.98186604255187
CompletingAllItems
Async	28.94216637327687
Sync	105.90533303949945
total	134.88618933005205
DeletingItems
Async	3.970499268199375
Sync	90.32792224620796
total	94.41279544169886
total	368.5642757166224
Inferno-TodoMVC
Adding100Items
Async	44.9335476405774
Sync	50.21652192015822
total	95.51825049796177
CompletingAllItems
Async	9.965466547585855
Sync	110.94701202349202
total	121.47015770302654
DeletingItems
Async	3.841128393625102
Sync	244.00654212865368
total	248.0420111574034
total	466.9712305546782
Preact-TodoMVC
Adding100Items
Async	43.736311849218055
Sync	6.229765008037066
total	49.976416178531466
CompletingAllItems
Async	30.363690673911048
Sync	3.876940375540431
total	34.2768814094732
DeletingItems
Async	7.5689445474749295
Sync	2.051036336363162
total	9.644802531030855
total	94.08990639090442
React-Redux-TodoMVC
Adding100Items
Async	44.368815433411
Sync	192.89752888980146
total	237.97670284600687
CompletingAllItems
Async	30.341800709425602
Sync	183.1118884838362
total	213.74911653160171
DeletingItems
Async	5.653147628541231
Sync	119.57146092191282
total	125.78492086060537
total	586.2348941984623
React-TodoMVC
Adding100Items
Async	44.21478798921397
Sync	149.23150073583676
total	194.1837083781187
CompletingAllItems
Async	31.80721212120692
Sync	93.05343788552237
total	125.5735216737783
DeletingAllItems
Async	4.6291580818924105
Sync	57.64055360770973
total	62.78162336132063
total	388.5710412581881
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	38.128708447531615
Sync	333.53728401559107
total	371.77249071603933
CompletingAllItems
Async	29.282004104982942
Sync	72.78433070105615
total	102.09493544805501
DeletingItems
Async	4.129752829430174
Sync	46.43386408420657
total	50.671363026280304
total	525.1147454871931
Vanilla-ES2015-TodoMVC
Adding100Items
Async	37.07815518935134
Sync	340.6858491515486
total	377.814546461893
CompletingAllItems
Async	30.308626477131536
Sync	74.93014646356822
total	105.5087790531442
DeletingItems
Async	4.08621883016382
Sync	45.60887562664158
total	49.94225087623098
total	534.9098598798845
VanillaJS-TodoMVC
Adding100Items
Async	36.8086469534926
Sync	235.28055044717746
total	272.14154012964394
CompletingAllItems
Async	29.03626849976566
Sync	64.37776488575908
total	93.60698215448485
DeletingAllItems
Async	4.269464530132899
Sync	41.00138439498951
total	45.4038453963626
total	412.4010612820195
VueJS-TodoMVC
Adding100Items
Async	62.990043857454765
Sync	8.866845408342163
total	71.88518837895859
CompletingAllItems
Async	35.97899256445748
Sync	3.9773744717490938
total	40.049439179251486
DeletingAllItems
Async	10.116700974272927
Sync	4.946812072256284
total	15.082862536131
total	128.11744689966682
jQuery-TodoMVC
Adding100Items
Async	45.21446732237864
Sync	513.7749951880319
total	559.0111330011613
CompletingAllItems
Async	42.445760280901936
Sync	991.8904619312416
total	1034.4549921032847
DeletingAllItems
Async	4.667212015542918
Sync	523.6743490214434
total	528.729446766385
total	2123.6957073868475
geomean	420.5274098767654
mean	573.9197433676705
score	47.55932557609256
total	9182.71589388273
