label	chrome-handles-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome
version	112.0.5572.0
binary	/home/jake/chromium/src/out/handles_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC
Adding100Items
Async	37.7393113385546
Sync	54.73080463181661
total	92.63309678434949
CompletingAllItems
Async	14.38262288467127
Sync	9.965341698236822
total	24.380182715448694
DeletingItems
Async	3.798112915450123
Sync	18.10874382481663
total	22.02805114501635
total	139.35378945540316
AngularJS-TodoMVC
Adding100Items
Async	51.87789535376537
Sync	242.37148272276698
total	295.05532317660493
CompletingAllItems
Async	33.4847777200054
Sync	71.98185417177821
total	106.13077318092658
DeletingAllItems
Async	16.603700249602383
Sync	264.7031645507334
total	282.05387231857475
total	689.6922562078827
BackboneJS-TodoMVC
Adding100Items
Async	43.5860864213976
Sync	71.73888071635072
total	115.39522436722068
CompletingAllItems
Async	33.1078840681788
Sync	46.90057127929133
total	80.05493320905885
DeletingAllItems
Async	4.850286689656681
Sync	30.107962567064813
total	35.012546738725696
total	230.85408442989822
Elm-TodoMVC
Adding100Items
Async	51.176739111949026
Sync	135.61568750968542
total	187.98065754177605
CompletingAllItems
Async	35.130552097735176
Sync	139.80617487585081
total	175.96544252337128
DeletingItems
Async	10.721256678702497
Sync	150.89967509462863
total	162.1270424477031
total	538.8415054329687
EmberJS-Debug-TodoMVC
Adding100Items
Async	47.81178565179781
Sync	586.424996567923
total	634.3587884428847
CompletingAllItems
Async	32.13073878340636
Sync	370.6787961998742
total	402.9806947319878
DeletingItems
Async	8.613364272355353
Sync	386.0493952712629
total	395.9019689989303
total	1441.8754105077883
EmberJS-TodoMVC
Adding100Items
Async	43.55276669452577
Sync	208.01913609015156
total	251.87764653861768
CompletingAllItems
Async	33.941719688543984
Sync	118.20560135276916
total	152.598796040358
DeletingItems
Async	4.442925083682781
Sync	80.69177650220254
total	85.48901730028024
total	491.9584048454601
Flight-TodoMVC
Adding100Items
Async	38.95014122196189
Sync	98.66879486872328
total	137.67167239233083
CompletingAllItems
Async	28.634295765160402
Sync	105.99770394365382
total	134.66337188719055
DeletingItems
Async	3.8573458622068566
Sync	90.09178286866322
total	93.99365406395559
total	366.9741444170691
Inferno-TodoMVC
Adding100Items
Async	44.44718003589626
Sync	50.80941165341995
total	95.83703548877094
CompletingAllItems
Async	10.524859172708604
Sync	112.20964062823687
total	123.3479185267283
DeletingItems
Async	3.7715593951777753
Sync	247.27069267556635
total	251.19945807476313
total	473.046617251627
Preact-TodoMVC
Adding100Items
Async	43.31837104013312
Sync	6.4854251999271835
total	49.80990224457925
CompletingAllItems
Async	30.6879134232346
Sync	3.9590002137776703
total	34.66559903996406
DeletingItems
Async	7.546402241093863
Sync	2.1100783404087253
total	9.674972261186241
total	94.22330959922998
React-Redux-TodoMVC
Adding100Items
Async	43.88616536337979
Sync	186.55941151533378
total	230.9058260963741
CompletingAllItems
Async	29.724941986990085
Sync	181.42973494274142
total	211.39967159189462
DeletingItems
Async	5.131908787095593
Sync	115.23364809041675
total	120.8913061857075
total	567.399721110955
React-TodoMVC
Adding100Items
Async	44.39085750278882
Sync	155.0024685698792
total	200.29899802819287
CompletingAllItems
Async	31.71834677458736
Sync	96.33522464994145
total	129.08941403825347
DeletingAllItems
Async	5.045929475579244
Sync	58.686564978742936
total	64.45549867873318
total	402.8986741305094
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	37.892572869157966
Sync	334.9238831396856
total	372.88641411499776
CompletingAllItems
Async	28.96755592236548
Sync	72.34994495579829
total	101.42648849813297
DeletingItems
Async	4.141556680448573
Sync	45.559833126895846
total	49.843597660607365
total	524.8525478577327
Vanilla-ES2015-TodoMVC
Adding100Items
Async	37.620434592269845
Sync	349.5328716820297
total	387.2148952584094
CompletingAllItems
Async	30.188000742218644
Sync	72.35761417317845
total	102.6612908471499
DeletingItems
Async	4.2129323680672695
Sync	45.18430977184483
total	49.73514098513385
total	540.4913007509999
VanillaJS-TodoMVC
Adding100Items
Async	36.783404727277365
Sync	236.9222524669086
total	273.77100813259307
CompletingAllItems
Async	29.13155960906851
Sync	62.49814057588646
total	91.73627561960133
DeletingAllItems
Async	4.426424272231024
Sync	40.54142077426509
total	45.15394550858489
total	411.41628428106065
VueJS-TodoMVC
Adding100Items
Async	63.190186806164455
Sync	9.146766067929338
total	72.37028898247978
CompletingAllItems
Async	34.45910037579953
Sync	4.085704150846276
total	38.605092668457736
DeletingAllItems
Async	9.993727265240157
Sync	5.01827083279578
total	15.02984616851538
total	126.72909527857085
jQuery-TodoMVC
Adding100Items
Async	44.61050360240763
Sync	522.1125497842287
total	566.7349981677183
CompletingAllItems
Async	41.97836470066577
Sync	1010.7070229533439
total	1052.7701033721303
DeletingAllItems
Async	4.849234691789124
Sync	530.1685916647943
total	535.5056095331452
total	2155.5427089515065
geomean	421.98498899600327
mean	577.2027242310236
score	47.39505082297947
total	9235.24358769638
